OBJECTID,SURVEYJOBIDPK,SURVEYAGENCY,CHANNELAREAIDFK,SDSFEATURENAME,SOURCEPROJECTION,SURVEYDATEUPLOADED,SOURCEDATALOCATION,SURVEYDATEEND,SURVEYDATESTART,SURVEYTYPE,PROJECTEDAREA,Hi-Res?
550428,NB_03_NEC_20180828_CS_D_1_10_95,CENWS,CENWS_NB_03_NEC,NEAH BAY ENTRANCE CHANNEL,Washington North,2018-10-03,https://ehydro.blob.core.windows.net/ehydro-surveys/CENWS/NB_03_NEC_20180828_CS_D_1_10_95.ZIP,2018-08-28,2018-08-28,CS,1990151.39164909,No
547813,AW_06_CHP_20180904_AD_04,CESAC,CESAC_AW_06_CHP,CHARLESTON TO PORT ROYAL,South Carolina,2018-09-20,https://ehydro.blob.core.windows.net/ehydro-surveys/CESAC/AW_06_CHP_20180904_AD_04.ZIP,2018-09-04,2018-09-04,AD,4763236.24865822,No
547812,AW_06_CHP_20180918_AD_23,CESAC,CESAC_AW_06_CHP,CHARLESTON TO PORT ROYAL,South Carolina,2018-09-20,https://ehydro.blob.core.windows.net/ehydro-surveys/CESAC/AW_06_CHP_20180918_AD_23.ZIP,2018-09-18,2018-09-18,AD,2856301.68743014,No
547811,AW_06_CHP_20180919_AD_04,CESAC,CESAC_AW_06_CHP,CHARLESTON TO PORT ROYAL,South Carolina,2018-09-20,https://ehydro.blob.core.windows.net/ehydro-surveys/CESAC/AW_06_CHP_20180919_AD_04.ZIP,2018-09-19,2018-09-19,AD,1078176.19739039,No
547500,PM_5D_SWT_20180918_CS_14_LWD,CESWG,CESWG_PM_5D_SWT,PORT_MANSFIELD,Texas South,2018-09-20,https://ehydro.blob.core.windows.net/ehydro-surveys/CESWG/PM_5D_SWT_20180918_CS_14_LWD.ZIP,2018-09-18,2018-09-18,CS,673705.32312421,No
547493,PS_16_BIL_20180424_CS,CENAP,CENAP_PS_16_BIL,Billingsport Range ,New Jersey,2018-09-20,https://ehydro.blob.core.windows.net/ehydro-surveys/CENAP/PS_16_BIL_20180424_CS.ZIP,2018-04-24,2018-04-24,CS,9931057.74458319,No
547501,PM_5C_NWT_20180918_CS_14_LWD,CESWG,CESWG_PM_5C_NWT,PORT_MANSFIELD,Texas South,2018-09-20,https://ehydro.blob.core.windows.net/ehydro-surveys/CESWG/PM_5C_NWT_20180918_CS_14_LWD.ZIP,2018-09-18,2018-09-18,CS,679724.24018844,No
547502,PM_5B_SET_20180918_CS_14_LWD,CESWG,CESWG_PM_5B_SET,PORT_MANSFIELD,Texas South,2018-09-20,https://ehydro.blob.core.windows.net/ehydro-surveys/CESWG/PM_5B_SET_20180918_CS_14_LWD.ZIP,2018-09-18,2018-09-18,CS,574744.0921257,No
547503,PM_08_SPB_20180918_CS_14_LWD,CESWG,CESWG_PM_08_SPB,PORT_MANSFIELD,Texas South,2018-09-20,https://ehydro.blob.core.windows.net/ehydro-surveys/CESWG/PM_08_SPB_20180918_CS_14_LWD.ZIP,2018-09-18,2018-09-18,CS,540289.00741976,No
547504,PM_07_TRB_20180918_CS_14_LWD,CESWG,CESWG_PM_07_TRB,PORT_MANSFIELD,Texas South,2018-09-20,https://ehydro.blob.core.windows.net/ehydro-surveys/CESWG/PM_07_TRB_20180918_CS_14_LWD.ZIP,2018-09-18,2018-09-18,CS,838245.83068475,No
547809,PM_06_MTB_20180918_CS_14_LWD,CESWG,CESWG_PM_06_MTB,PORT_MANSFIELD,Texas South,2018-09-20,https://ehydro.blob.core.windows.net/ehydro-surveys/CESWG/PM_06_MTB_20180918_CS_14_LWD.ZIP,2018-09-18,2018-09-18,CS,1122254.76299788,No
547497,CL_03_FLV_20180919_CS,CENWP,CENWP_CL_03_FLV,FLAVEL BAR,Oregon North,2018-09-20,https://ehydro.blob.core.windows.net/ehydro-surveys/CENWP/CL_03_FLV_20180919_CS.ZIP,2018-09-19,2018-09-19,CS,26945551.5288646,Yes
547498,CL_16_WLK_20180919_BD,CENWP,CENWP_CL_16_WLK,WALKER ISLAND REACH,Oregon North,2018-09-20,https://ehydro.blob.core.windows.net/ehydro-surveys/CENWP/CL_16_WLK_20180919_BD.ZIP,2018-09-19,2018-09-19,BD,24514332.9735914,Yes
547499,WR_04_B2M_20180501_CS,CENWP,CENWP_WR_04_B2M,BROADWAY TO MORRISON,Oregon North,2018-09-20,https://ehydro.blob.core.windows.net/ehydro-surveys/CENWP/WR_04_B2M_20180501_CS.ZIP,2018-05-01,2018-05-01,CS,5051145.74623996,Yes
547810,CQ_01_CQ1_20180919_CS,CENWP,CENWP_CQ_01_CQ1,COQUILLE RIVER,Oregon South,2018-09-20,https://ehydro.blob.core.windows.net/ehydro-surveys/CENWP/CQ_01_CQ1_20180919_CS.ZIP,2018-09-19,2018-09-19,CS,3148324.71295086,Yes
547815,UM_13_MVR_20180918_CS_52955305_18C,CEMVR,CEMVR_UM_13_MVR,Upper Mississippi River Pool 13,Illinois West,2018-09-20,https://ehydro.blob.core.windows.net/ehydro-surveys/CEMVR/UM_13_MVR_20180918_CS_52955305_18C.ZIP,2018-09-18,2018-09-18,CS,4168068.62384719,No
547817,UM_13_MVR_20180917_CS_54735487_18B,CEMVR,CEMVR_UM_13_MVR,Upper Mississippi River Pool 13,Illinois West,2018-09-20,https://ehydro.blob.core.windows.net/ehydro-surveys/CEMVR/UM_13_MVR_20180917_CS_54735487_18B.ZIP,2018-09-17,2018-09-17,CS,9195858.04804907,No
547814,UM_14_MVR_20180919_CS_50315041_18B,CEMVR,CEMVR_UM_14_MVR,Upper Mississippi River Pool 14,Illinois West,2018-09-20,https://ehydro.blob.core.windows.net/ehydro-surveys/CEMVR/UM_14_MVR_20180919_CS_50315041_18B.ZIP,2018-09-19,2018-09-19,CS,4792217.56513485,No
547820,UM_14_MVR_20180912_CS_50945101_18C,CEMVR,CEMVR_UM_14_MVR,Upper Mississippi River Pool 14,Illinois West,2018-09-20,https://ehydro.blob.core.windows.net/ehydro-surveys/CEMVR/UM_14_MVR_20180912_CS_50945101_18C.ZIP,2018-09-12,2018-09-12,CS,3651164.98801701,No
547816,IL_LA_MVR_20180918_CS_15551570_18B,CEMVR,CEMVR_IL_LA_MVR,IL Waterway La Grange Pool,Illinois West,2018-09-20,https://ehydro.blob.core.windows.net/ehydro-surveys/CEMVR/IL_LA_MVR_20180918_CS_15551570_18B.ZIP,2018-09-18,2018-09-18,CS,3267763.81759652,No
547819,IL_LA_MVR_20180918_CS_11351140_18A,CEMVR,CEMVR_IL_LA_MVR,IL Waterway La Grange Pool,Illinois West,2018-09-20,https://ehydro.blob.core.windows.net/ehydro-surveys/CEMVR/IL_LA_MVR_20180918_CS_11351140_18A.ZIP,2018-09-18,2018-09-18,CS,247531.59287635,No
547818,IL_LA_MVR_20180917_CS_11301135_18C,CEMVR,CEMVR_IL_LA_MVR,IL Waterway La Grange Pool,Illinois West,2018-09-20,https://ehydro.blob.core.windows.net/ehydro-surveys/CEMVR/IL_LA_MVR_20180917_CS_11301135_18C.ZIP,2018-09-17,2018-09-17,CS,757232.7430475,No
547494,CL_08_BKW_20180920_CS,CENWP,CENWP_CL_08_BKW,BROOKFIELD-WELCH ISLAND,Oregon North,2018-09-20,https://ehydro.blob.core.windows.net/ehydro-surveys/CENWP/CL_08_BKW_20180920_CS.ZIP,2018-09-20,2018-09-20,CS,25551988.0322086,Yes
547495,CL_17_SLG_20180920_CS,CENWP,CENWP_CL_17_SLG,SLAUGHTERS BAR,Oregon North,2018-09-20,https://ehydro.blob.core.windows.net/ehydro-surveys/CENWP/CL_17_SLG_20180920_CS.ZIP,2018-09-20,2018-09-20,CS,26553483.8784669,Yes
547496,CL_18_LDB_20180920_OT,CENWP,CENWP_CL_18_LDB,LOWER DOBELBOWER BAR,Oregon North,2018-09-20,https://ehydro.blob.core.windows.net/ehydro-surveys/CENWP/CL_18_LDB_20180920_OT.ZIP,2018-09-20,2018-09-20,OT,11242885.9112663,Yes
547821,NH_03_NER_20180731_CS,CENAO,CENAO_NH_03_NER,ENTRANCE REACH,Virginia South,2018-09-21,https://ehydro.blob.core.windows.net/ehydro-surveys/CENAO/NH_03_NER_20180731_CS.ZIP,2018-07-31,2018-07-31,CS,19031378.9273137,No
